,368,TALANG PARALON,BRG-368,BTG
,369,WASTAPEL KENCING,BRG-369,PCS
,370,OPEN COKLAT,BRG-370,Kg
,371,ALDELON,BRG-371,LBR
,372,SEKIL,BRG-372,Kg
,373,DP SEWA BANGUNAN,BRG-373,RAD
,374,CAKAR  AYAM ,BRG-374,Kg
,375,BESI BAHAN ,BRG-375,Kg
,376,HOICE,BRG-376,Pcs
,377,TENGKI  ,BRG-377,Kg
,378,RAK BESI,BRG-378,Kg
,379,PULI,BRG-379,Kg
,380,PELASTIK,BRG-380,Kg
,381,WARMES BEKAS,BRG-381,Kg
,382,TIMBANGAN,BRG-382,PCS
,383,GERGAJI,BRG-383,Kg
,384,RDT,BRG-384,Kg
,385,TENGKI,BRG-385,Kg
,386,SENG BEKAS,BRG-386,Kg
,387,DRIL,BRG-387,Kg
,388,LEMARI KABINET,BRG-388,UNIT
,389,TANGGA,BRG-389,Kg
,390,PLATE STRIP,BRG-390,Kg
,391,SOKET,BRG-391,Kg
,392,SIWAR,BRG-392,Kg
,393,Dinabolt,BRG-393,Kg
,394,OLI BAGUS,BRG-394,DRUM
,395,ROLLING DOR,BRG-395,UNIT
,396,SENG PENDEK,BRG-396,Kg
,397,CNP BAJA RINGAN  ,BRG-397,Kg
,398,SCRAP PLAT STRIP,BRG-398,Kg
,399,SCRAP REL,BRG-399,Kg
,400,SENG,BRG-400,Kg
,401,MAJALENGKA,BRG-401,TF
,402,RITASE MAJALENGKA,BRG-402,TF
,403,TANGKI,BRG-403,UNIT
,404,PILOW,BRG-404,Kg
,405,BETON 6 MM  ,BRG-405,BTG
,406,BETON 8 MM  ,BRG-406,BTG
,407,BETON 10 MM,BRG-407,BTG
,408,TIANG 7 M,BRG-408,PCS
,409,LAS SASIS,BRG-409,RAD
,410,JEMBATAN DRILL,BRG-410,Kg
,411,WF & HOLLOW,BRG-411,Kg
,412,RELL,BRG-412,Kg
,413,MESEN PERAHU,BRG-413,UNIT
,414,HOLLO 5 x 10,BRG-414,BTG
,415,HOLLO 4 x 6,BRG-415,BTG
,416,HOLLO 4 x 4,BRG-416,BTG
,417,HANDCLIFT 2000 KG,BRG-417,UNIT
,418,HANDCLIFT 3000 KG,BRG-418,UNIT
,419,DINAMO ALM,BRG-419,Kg
,420,GIGI,BRG-420,Kg
,421,RANTAI,BRG-421,Kg
,422,GRANIT,BRG-422,M²
,423,ASH STENLIS,BRG-423,Kg
,424,HENKLIF 2 TON,BRG-424,PCS
,425,TENGKI,BRG-425,UNIT
,426,JERIGEN,BRG-426,Pcs
,427,PAGAR BEKAS,BRG-427,Kg
,428,HOLLO BEKAS,BRG-428,Kg
,429,RANGKA BETON BARU,BRG-429,Kg
,430,BAJARINGAN,BRG-430,Kg
,431,RONGSOK,BRG-431,Kg
,432,BETON 10 ,BRG-432,Btg
,433,BETON 8,BRG-433,Kg
,434,KERAMIK,BRG-434,M
,435,MAJALENGKA,BRG-435,TF
,436,MESIN PERAHU,BRG-436,UNIT
,437,BETON 6 MM,BRG-437,BTG
,438,STAINLESS,BRG-438,Kg
,439,BAJARINGAN,BRG-439,Kg
,440,KRAN STAINLESS,BRG-440,Kg
,441,GEARBOX,BRG-441,Kg
,442,KRAN BESI,BRG-442,Kg
,443,SENG WUWUNG,BRG-443,M
,444,JENDELA ALMUNIUM,BRG-444,PCS
,445,"BONDEX 0,70 MM",BRG-445,LEMBAR
,446,SPEARPART,BRG-446,Kg
,447,T.B.C,BRG-447,Kg
,448,RAM SIKU,BRG-448,Kg
,449,TANGGA DAN RAK,BRG-449,RAD
,450,SENG GALVALUM DAN RENG,BRG-450,M
,451,"PIPA 2,5""",BRG-451,BTG
,452,SEPERPART BEKU,BRG-452,Kg
,453,OLI BEKAS,BRG-453,DRUM
,454,TOREN AIR 500 L,BRG-454,PCS
,455,TONG CIMOL 200 L,BRG-455,PCS
,456,ANGKUR BEKAS,BRG-456,Kg
,457,MESIN,BRG-457,Kg
,458,DINAMO + STAINLIS + ALM,BRG-458,Kg
,459,TIHANG TAKEL,BRG-459,Kg
,460,AYAKAN BATU ( 2 UNIT ),BRG-460,RAD
,461,TIANG LISTRIK 9 M,BRG-461,PCS
,462,SIBEL,BRG-462,Kg
,463,PARALON TALANG,BRG-463,BTG
,464,BONDEX,BRG-464,LBR
,465,WARMES M.10,BRG-465,LBR
,466,BREKER,BRG-466,Kg
,467,TIANG TELEPON 7 M,BRG-467,PCS
,468,TIANG TELEPON 9 M,BRG-468,PCS
,469,BESI BETON 8 FULL,BRG-469,BTG
,470,CATOK,BRG-470,PCS
,471,SCRAP HSS,BRG-471,Kg
,472,BATU GERINDA,BRG-472,Kg
,473,JACK HUMMER,BRG-473,Kg
,474,GEAR,BRG-474,Kg
,475,HSS,BRG-475,Kg
,476,TRAPO,BRG-476,Kg
,477,KIKIR,BRG-477,Kg
,478,HBEAM 250,BRG-478,Kg
,479,ALAT BOR,BRG-479,Kg
,480,BESI BOR,BRG-480,Kg
,481,KAWAT LAS,BRG-481,Kg
,482,ALAT BUBUT,BRG-482,Kg
,483,BAUD CAMPUR,BRG-483,Kg
,484,SPERPART ESKALATOR,BRG-484,Kg
,485,LAMPU NEON,BRG-485,PCS
,486,SENG GALVALUM,BRG-486,M
,487,KERAMIK LISTRIK,BRG-487,Kg
,488,MESIN KOMPESOR,BRG-488,PCS
,489,JENSET,BRG-489,UNIT
,490,ALUMUNIUM,BRG-490,Kg
,491,BAKET BEKO,BRG-491,Kg
,492,Filter Hydraulic Oil,BRG-492,Pcs
,493,Filter Solar,BRG-493,Pcs
,494,Filter Udara,BRG-494,Pcs
,495,Fan Belt,BRG-495,Pcs
,496,Cover Clutte,BRG-496,Pcs
,497,Pump Assy,BRG-497,Pcs
,498,Master Cluute,BRG-498,Pcs
,499,Minyak Rem,BRG-499,Pcs
,500,Bondex Busa,BRG-500,Lembar
,501,COUNTAINER 20 FIT,BRG-496,UNIT
,502,TIANG TLP 9 M,BRG-497,BATANG
,503,BETON 16 URIL FULL,BRG-498,PCS
,504,BETON 8 POLOS FULL,BRG-499,PCS
,505,TALANG,BRG-450,Kg
